Source,Target,Type
44,12,Beginning note
44,30,Endnote
44,61,Endnote
44,123,Endnote
44,81,Endnote
44,45,Endnote
45,44,Beginning note
45,43,Beginning note
45,47,Beginning note
45,87,Endnote
45,69,Endnote
45,122,Endnote
45,160,Endnote
45,165,Endnote
46,19,Beginning note
46,32,Beginning note
46,101,Endnote
46,87,Endnote
46,212,Endnote
46,244,Endnote
46,100,Endnote
47,26,Beginning note
47,81,Endnote
47,65,Endnote
47,48,Endnote
47,72,Endnote
47,73,Endnote
47,157,Endnote
47,177,Endnote
47,71,Endnote
48,14,Beginning note
48,37,Beginning note
48,13,Beginning note
48,15,Beginning note
48,41,Beginning note
48,79,Endnote
48,37,Endnote
48,38,Endnote
49,11,Beginning note
49,14,Beginning note
49,23,Beginning note
49,37,Beginning note
49,41,Beginning note
49,50,Endnote
49,51,Endnote
49,103,Endnote
49,113,Endnote
49,52,Endnote
50,23,Beginning note
50,49,Beginning note
50,54,Endnote
51,49,Beginning note
51,50,Beginning note
51,67,Beginning note
51,67,Endnote
51,52,Endnote
51,103,Endnote
51,170,Endnote
51,245,Endnote
51,247,Endnote
52,23,Beginning note
52,49,Beginning note
52,51,Beginning note
52,30,Beginning note
52,31,Beginning note
52,120,Beginning note
52,55,Endnote
52,51,Endnote
52,120,Endnote
52,121,Endnote
52,54,Endnote
53,14,Beginning note
53,37,Beginning note
53,41,Beginning note
53,95,Beginning note
53,98,Beginning note
53,110,Endnote
53,112,Endnote
53,98,Endnote
54,23,Beginning note
54,52,Beginning note
54,61,Endnote
54,92,Endnote
54,93,Endnote
54,103,Endnote
54,55,Endnote
54,174,Endnote
54,244,Endnote
55,52,Beginning note
55,54,Beginning note
55,23,Beginning note
55,243,Endnote
55,119,Endnote
55,125,Endnote
56,11,Beginning note
56,49,Beginning note
56,52,Beginning note
56,110,Endnote
56,119,Endnote
56,59,Endnote
56,173,Endnote
57,23,Beginning note
57,31,Beginning note
57,49,Beginning note
57,51,Beginning note
57,52,Beginning note
57,56,Beginning note
57,18,Beginning note
57,164,Endnote
57,68,Endnote
57,73,Endnote
57,85,Endnote
57,86,Endnote
57,40,Endnote
57,41,Endnote
57,43,Endnote
57,70,Endnote
57,72,Endnote
57,74,Endnote
57,84,Endnote
58,31,Beginning note
58,33,Beginning note
58,61,Endnote
58,63,Endnote
58,69,Endnote
58,93,Endnote
58,100,Endnote
58,244,Endnote
59,9,Beginning note
59,41,Beginning note
59,64,Endnote
59,71,Endnote
59,171,Endnote
59,60,Endnote
59,173,Endnote
60,14,Beginning note
60,41,Beginning note
60,13,Beginning note
60,15,Beginning note
60,59,Beginning note
60,171,Endnote
60,106,Endnote
60,173,Endnote
60,66,Endnote
60,70,Endnote
60,72,Endnote
60,74,Endnote
60,94,Endnote
61,30,Beginning note
61,31,Beginning note
61,41,Beginning note
61,14,Beginning note
61,123,Endnote
61,124,Endnote
61,106,Endnote
61,114,Endnote
61,122,Endnote
61,125,Endnote
61,126,Endnote
62,21,Beginning note
62,61,Beginning note
62,66,Beginning note
62,12,Beginning note
62,61,Endnote
62,125,Endnote
62,134,Endnote
62,158,Endnote
63,10,Beginning note
63,31,Beginning note
63,33,Beginning note
63,58,Beginning note
63,61,Beginning note
63,124,Endnote
63,69,Endnote
63,93,Endnote
63,244,Endnote
64,24,Beginning note
64,25,Beginning note
64,15,Beginning note
64,59,Beginning note
64,100,Beginning note
64,71,Endnote
64,31,Endnote
64,66,Endnote
64,119,Endnote
65,12,Beginning note
65,14,Beginning note
65,26,Beginning note
65,129,Endnote
65,136,Endnote
65,139,Endnote
65,111,Endnote
65,173,Endnote
65,95,Endnote
66,26,Beginning note
66,24,Beginning note
66,53,Endnote
66,134,Endnote
66,64,Endnote
66,171,Endnote
67,60,Beginning note
67,37,Beginning note
67,38,Beginning note
67,39,Beginning note
67,41,Beginning note
67,105,Endnote
67,106,Endnote
67,114,Endnote
67,69,Endnote
67,72,Endnote
67,177,Endnote
67,68,Endnote
67,51,Endnote
68,67,Beginning note
68,37,Endnote
68,51,Endnote
68,86,Endnote
68,71,Endnote
68,74,Endnote
68,73,Endnote
69,53,Beginning note
69,60,Beginning note
69,61,Beginning note
69,67,Beginning note
69,100,Beginning note
69,120,Beginning note
69,129,Endnote
69,121,Endnote
69,124,Endnote
69,160,Endnote
69,163,Endnote
69,115,Endnote
69,119,Endnote
69,244,Endnote
69,125,Endnote
69,241,Endnote
70,26,Beginning note
70,14,Beginning note
70,66,Beginning note
70,67,Beginning note
70,59,Endnote
70,171,Endnote
70,241,Endnote
71,25,Beginning note
71,64,Beginning note
71,37,Beginning note
71,41,Beginning note
71,47,Beginning note
71,67,Beginning note
71,72,Beginning note
71,64,Endnote
71,105,Endnote
71,69,Endnote
71,174,Endnote
71,243,Endnote
72,41,Beginning note
72,47,Beginning note
72,95,Endnote
72,144,Endnote
72,71,Endnote
72,101,Endnote
72,165,Endnote
72,241,Endnote
72,243,Endnote
73,67,Beginning note
73,68,Beginning note
73,161,Endnote
73,56,Endnote
73,172,Endnote
73,203,Endnote
73,173,Endnote
73,243,Endnote
74,67,Beginning note
74,79,Beginning note
74,51,Beginning note
74,67,Beginning note
74,51,Endnote
74,60,Endnote
74,86,Endnote
74,178,Endnote
75,37,Beginning note
75,38,Beginning note
75,39,Beginning note
75,48,Beginning note
75,26,Beginning note
75,35,Beginning note
75,79,Endnote
75,76,Endnote
75,77,Endnote
75,78,Endnote
75,129,Endnote
75,147,Endnote
75,95,Endnote
76,76,Beginning note
76,37,Beginning note
76,79,Endnote
76,129,Endnote
76,136,Endnote
76,143,Endnote
76,137,Endnote
77,75,Beginning note
77,37,Beginning note
77,79,Endnote
77,136,Endnote
77,141,Endnote
78,75,Beginning note
78,76,Beginning note
78,77,Beginning note
78,79,Endnote
78,139,Endnote
78,144,Endnote
78,180,Endnote
78,183,Endnote
78,188,Endnote
78,189,Endnote
78,155,Endnote
78,154,Endnote
79,75,Beginning note
79,76,Beginning note
79,77,Beginning note
79,78,Beginning note
79,38,Beginning note
79,39,Beginning note
79,95,Endnote
79,111,Endnote
80,9,Beginning note
80,42,Beginning note
80,41,Beginning note
80,82,Endnote
80,95,Endnote
80,81,Endnote
80,83,Endnote
80,148,Endnote
81,41,Beginning note
